rr(msec)	R1()	R2()	
720	932	1419	1697.699915
714	929	1428	1703.591794
706	902	1409	1672.98685
696	918	1388	1664.111775
689	927	1336	1626.107315
683	921	1278	1575.285688
677	979	1275	1607.503033
671	1037	1266	1636.497785
664	1221	1400	1857.643938
654	1729	1679	2410.079252
640	2179	1906	2894.974439
623	2567	2126	3333.071406
608	2798	2375	3670.07207
596	3081	2547	3997.47045
577	3440	2690	4366.886763
548	3797	2835	4738.610978
496	4012	2988	5002.42821
482	4088	3075	5115.405067
533	4084	3130	5145.479181
627	4014	3157	5106.745049
708	3955	3138	5048.670023
755	3823	3094	4918.1465
805	3685	3027	4768.852483
859	3569	2985	4652.739623
904	3479	2952	4562.64671
921	3345	2861	4401.629925
909	3232	2810	4282.747249
879	3146	2754	4181.128077
857	3081	2681	4084.154992
850	3036	2619	4009.545735
860	2907	2552	3868.249346
874	2873	2472	3790.107254
880	2914	2399	3774.466452
876	2989	2295	3768.440792
866	3101	2192	3797.507735
852	3231	2103	3855.122566
834	3255	2011	3826.113694
812	3196	1946	3741.835379
789	3115	1885	3640.940812
772	3022	1885	3561.700296
760	2855	1830	3391.153933
753	2759	1835	3313.503584
746	2604	1830	3182.721477
741	2500	1835	3101.165104
735	2369	1803	2977.074067
729	2249	1832	2900.728357
721	2074	1802	2747.486124
712	1921	1784	2621.621063
707	1856	1776	2568.834755
705	1777	1750	2494.038693
704	1697	1742	2431.948396
702	1629	1723	2371.153728
699	1561	1725	2326.444927
696	1465	1684	2232.057571
693	1437	1685	2214.541488
691	1385	1689	2184.249528
691	1323	1682	2139.965654
691	1283	1670	2105.941357
693	1198	1658	2045.523894
695	1157	1655	2019.325135
697	1154	1656	2018.428101
699	1063	1642	1956.050357
701	1060	1637	1950.222808
703	1074	1621	1944.50945
706	1041	1594	1903.81643
713	1039	1586	1896.026635
724	967	1544	1821.819146
733	952	1558	1825.833508
735	979	1553	1835.824066
732	983	1523	1812.682543
726	1000	1511	1811.938465
720	940	1424	1706.275476
714	907	1363	1637.198216
708	966	1359	1667.344296
702	1072	1402	1764.8762
697	1219	1547	1969.560865
686	1575	1707	2322.600697
668	1914	1901	2697.628032
645	2263	2103	3089.300568
627	2685	2258	3508.245858
613	3093	2408	3919.835838
607	3280	2505	4127.157012
604	3515	2622	4385.214818
606	3579	2694	4479.606791
615	3508	2741	4451.869832
629	3565	2744	4498.751049
657	3548	2722	4471.866277
699	3472	2647	4365.935524
752	3404	2584	4273.671957
802	3357	2511	4192.203478
847	3292	2420	4085.788051
886	3209	2368	3988.120485
902	3144	2278	3882.527527
895	3095	2220	3808.861378
865	3018	2159	3710.74184
840	2959	2089	3622.099115
827	2865	2065	3531.635598
826	2753	2019	3413.996192
833	2700	1995	3357.08579
832	2610	1965	3267.00551
824	2447	1925	3113.428014
807	2378	1908	3048.827316
796	2333	1899	3008.17054
792	2240	1863	2913.480565
794	2126	1856	2822.164418
797	2051	1855	2765.434143
798	1992	1868	2730.840164
795	1801	1842	2576.15314
793	1745	1842	2537.319255
796	1690	1831	2491.718483
804	1623	1799	2422.917663
815	1587	1807	2404.956964
828	1529	1782	2348.055579
842	1530	1793	2357.063639
857	1459	1772	2295.357271
865	1448	1774	2289.93013
865	1408	1741	2239.094683
856	1362	1722	2195.524539
833	1332	1706	2164.40754
774	1301	1687	2130.391983
679	1268	1675	2100.82103
561	1264	1661	2087.251063
507	1261	1638	2067.163516
518	1263	1634	2065.217906
602	1210	1609	2013.201679
660	1143	1545	1921.841305
689	1117	1470	1846.236442
680	1156	1494	1889.013499
668	1386	1655	2158.708179
652	1723	1801	2492.454613
635	1979	2048	2847.936973
621	2237	2202	3138.944568
611	2711	2365	3597.602813
608	3146	2497	4016.506567
611	3494	2629	4372.605287
625	3594	2680	4483.217148
645	3385	2709	4335.539874
670	3247	2702	4224.193769
675	3219	2710	4207.857056
657	3196	2670	4164.530706
620	3171	2631	4120.364304
587	3114	2526	4009.697245
558	3054	2460	3921.545104
532	2977	2377	3809.548267
504	2935	2299	3728.220219
471	2877	2220	3633.941249
448	2782	2164	3524.545361
485	2652	2132	3402.723615
568	2485	2075	3237.414092
668	2353	2064	3129.96885
737	2182	2043	2989.142519
796	2022	2017	2856.006478
839	1904	1979	2746.207749
855	1823	1941	2662.857488
843	1702	1908	2556.808166
818	1634	1879	2490.099797
795	1569	1867	2438.739428
773	1482	1814	2342.417555
753	1416	1792	2283.926444
737	1318	1781	2215.645504
727	1251	1738	2141.411917
723	1234	1726	2121.752106
720	1199	1709	2087.649875
717	1157	1679	2039.041441
714	1105	1647	1983.339104
712	1083	1612	1942.017765
710	1060	1589	1910.110206
707	1019	1543	1849.110597
691	1020	1534	1842.160688
661	1001	1500	1803.33053
609	978	1462	1758.956509
567	980	1427	1731.106294
573	969	1383	1688.682919
615	988	1361	1681.804091
657	1164	1417	1833.789792
659	1223	1430	1881.65592
647	1204	1436	1873.956243
635	1237	1466	1918.156667
624	1599	1711	2341.862934
615	2025	2054	2884.361454
608	2206	2347	3221.000621
601	2498	2661	3649.78424
594	2894	2844	4057.532748
590	3192	2994	4376.402632
591	3364	3133	4596.975636
601	3785	3229	4975.205121
654	4078	3267	5225.26296
748	4087	3244	5217.95985
844	4029	3191	5139.583835
888	3974	3196	5099.714894
878	3943	3179	5064.907699
851	3914	3121	5006.0001
832	3850	3059	4917.314409
822	3687	2985	4743.858556
822	3512	2929	4573.093592
820	3411	2864	4453.921531
818	3278	2800	4311.065298
813	3128	2740	4158.36314
810	3051	2666	4051.685699
811	2987	2594	3956.135109
816	2942	2544	3889.382984
823	2914	2498	3838.150596
835	2866	2410	3744.603584
851	2794	2345	3647.665144
871	2732	2316	3581.575073
876	2646	2256	3477.190245
864	2536	2220	3370.414811
835	2402	2204	3259.941717
793	2245	2180	3129.285062
742	2154	2182	3066.078929
718	2002	2150	2937.771945
730	1852	2148	2836.160785
759	1808	2111	2779.421702
765	1832	2107	2792.073244
749	1784	2066	2729.654191
730	1845	2045	2754.27849
713	1910	1984	2753.970951
699	1914	1936	2722.405554
688	1916	1927	2717.422492
681	1875	1917	2681.513379
678	1777	1888	2592.734657
676	1702	1874	2531.537082
674	1711	1839	2511.860267
674	1677	1812	2468.941676
677	1627	1774	2407.115494
685	1610	1777	2397.880105
693	1604	1761	2382.002729
697	1588	1720	2340.970739
698	1577	1716	2330.576109
699	1574	1702	2318.249339
702	1587	1688	2316.875698
708	1578	1679	2304.153858
718	1566	1653	2277.007905
732	1561	1622	2251.134159
747	1537	1598	2217.19936
742	1502	1578	2178.551813
720	1478	1588	2169.384244
679	1477	1583	2165.044572
625	1478	1555	2145.345893
617	1464	1545	2128.455074
655	1422	1508	2072.715128
709	1421	1507	2071.301523
721	1408	1492	2051.469717
692	1379	1480	2022.879383
655	1368	1472	2009.529298
659	1341	1454	1977.978008
706	1306	1432	1938.107324
763	1291	1428	1925.062337
779	1287	1431	1924.611649
751	1267	1424	1906.060073
727	1257	1363	1854.135378
714	1246	1296	1797.813116
712	1261	1285	1800.37385
706	1318	1332	1873.85912
690	1424	1497	2066.103821
665	1755	1672	2423.965553
645	2195	1947	2934.081458
632	2550	2192	3362.642413
628	2832	2369	3692.20598
626	3237	2509	4095.515841
625	3119	2584	4050.335418
633	2909	2563	3877.015605
647	2778	2513	3745.991591
666	2695	2458	3647.573029
677	2727	2422	3647.274736
680	2714	2363	3598.550403
665	2702	2294	3544.466109
630	2636	2232	3454.029531
576	2497	2176	3312.096768
514	2427	2154	3245.003082
451	2364	2141	3189.416404
406	2145	2071	2981.621371
382	1880	1922	2688.584014
380	1721	1814	2500.487352
380	1617	1747	2380.482724
380	1499	1587	2183.018552
			
			5225.26296
			1507.657786
